N,B,norm,expected,pred_ratio
500,-177550086.967,0.452127583794,0.450747348706,1.00306210362
1000,-1459485865.07,0.464568779596,0.46386572329,1.00151564617
1500,-4970796737.0,0.468815924029,0.468344314485,1.00100697186
2000,-11836482632.8,0.470958679959,0.470603879104,1.00075392675
3000,-40130979448.5,0.473114351878,0.472877086987,1.00050174749
